glyph_id,folio,canvas,line,position_context,diplomatic_marker,candidates,confidence,note
G001,1r,0007,L01,"above καθὸ","[λδ?]","λδ|abbreviation/numeral",low,"small supralinear mark; not integrated into baseline text"
G002,1r,0007,L01,"πτῶϲιν","ϲ","ϲ",medium,"C-shaped sigma/lunate sigma — consistent with 15c. scholarly hand using lunate sigma throughout"
G003,1r,0007,L01,"εἰποταχυμεδ[ι/η?]α̅","[ι/η?]","ι|η",low,"right-end sequence compressed and partly unclear"
G004,1r,0007,L01,"final α̅","α̅","alpha with overline",low,"possible abbreviation/numeral mark; overline visible but function uncertain"
G005,1r,0007,L02,"τὰ ἐπι[μ/ν?]έδου","[μ/ν?]","μ|ν",low,"middle consonant unclear in compressed initial word"
G006,1r,0007,L02,"πίστοῦϲε","ϲ","ϲ",medium,"C-shaped sigma/lunate sigma"
G007,1r,0007,L02,"τῆϲ πραγματείαϲ","ϲ","ϲ",medium,"C-shaped sigma/lunate sigma"
G008,1r,0007,L02,"τοῖϲ τοπικοῖϲ","ϲ","ϲ",medium,"C-shaped sigma/lunate sigma"
G009,1r,0007,L02,"ὁρι[ζ?]ομένωϲ","[ζ?]","ζ",low,"central vertical/diagonal strokes unclear"
G010,1r,0007,L02,"ἐπὶ δυν[α?]μικῇ","[α?]","α",low,"letter after ν unclear; could belong to abbreviation/ligature"
G011,1r,0007,L02,"προδιακειμέν[α/ω?]","[α/ω?]","α|ω",low,"ending vowel unclear near right side of crop"
G012,1r,0007,L02,"παραδ[ι?]","[ι?]","ι",low,"line continues/cut off at right edge"
G013,1r,0007,L03-L43,"recurring overline abbreviation","τ̄ν̄ / ο̄ν̄ / κ̄αί","abbreviation ligature forms",medium,"Recurring overline (U+0305) abbreviation forms throughout all pages; τ̄ν̄ = τῶν, ο̄ν̄ = ὄντων/ὄν, κ̄αί = καί. Very frequent. Not entered individually — pattern logged here."
G014,1r,0007,L07,"τῆϲ φιλοϲοφίαϲ","ϲ","ϲ",medium,"Lunate sigma — consistent pattern confirmed across entire ms; all word-final and medial sigma positions use C-shape. CONFIRMED SCRIBAL NORM: this scribe uses ϲ (U+03F2) universally."
G015,3v,0012,L12-L14,"left margin annotation block","[illeg.]","unknown — possibly reference/rubric",low,"Two groups of marginal annotations in left margin at approx L12-L14 and L38-L40 on f.3v. Possibly cross-references or reader notes added by second hand. Ink slightly different shade."
G016,4r,0013,DIAG,"tree diagram upper-right zone","[DIAG:4r]","Porphyrian tree|category division diagram",medium,"Clear branching tree diagram in upper-right of f.4r, occupying approx L01-L11 zone. 3 levels of nodes visible. Labels at nodes illegible at this scale. Consistent with commentary on Porphyry's Isagoge or Aristotle's Categories. Drawn in same ink as text."
G017,5r,0015,L17,"section-break decorated initial","[INIT?]","decorated capital — possibly red ink|enlarged initial",medium,"At L17 of f.5r a visibly larger initial begins a new section. Ink appears lighter/different, possibly red rubric. The text switches from dense minuscule to wider-spaced larger writing for approx 7 lines (L17-L23). Marks boundary between two text units."
G018,5v,0016,L11-L14,"heading block — larger hand","[HEADING]","section heading|lemma|κεφάλαιον",medium,"4-line block of larger, more widely spaced text at f.5v L11-L14. Reads (very uncertain): 'ε̄ν̄[τ?]εϲ̄ τ[ῆ?]ϲ πραγμ[α?]τ[ε?]ί[α?]ϲ κεφάλα[ι?]αϲ [illeg.]'. The word κεφάλαια or similar is likely. Function: chapter/section heading."
G019,5v,0016,L12,"ε̄ξ̄ ε̄λα[ί?]ου","ε̄ξ̄ ε̄λαίου","ἐξ ἐλαίου|ε̄ξ̄ ε̄λαίου",low,"Sequence in heading block that might read 'ἐξ ἐλαίου' (from oil?) — highly uncertain; could be 'ἐξ ἐλαφροῦ' or similar. Context of heading not yet clear."
G020,1r-5v,0007-0016,multiple,"recurring high-dot punctuation","·","·",high,"High dot (U+00B7 or U+0387 GREEK ANO TELEIA) used consistently as sentence/clause punctuation throughout. Pattern confirmed from L01 of f.1r. Encode as U+0387."
G021,4r,0013,L01-L11,"diagram node labels","[illeg.]","Greek word labels on tree nodes",low,"Node labels on the f.4r tree diagram are illegible at current image scale. Require high-resolution crop for reading. Each node likely 1-3 words."
G022,1v,0008,L01,"left-margin label at top","[illeg.]","possibly Βιβλ[ίον?]|section rubric",low,"Short annotation in left margin at very top of f.1v. Possibly a book/chapter number label added by reader or rubricator. 1-2 words, different ink."
